Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-03-23 17:41:04;2021-02-22;B.1.617.2;Delta;VOC;VOC;False;1037;0
3;2022-03-23 17:41:04;2021-02-22;B.1.1.529;Omicron;VOC;VOC;False;1037;0
3;2022-03-23 17:41:04;2021-02-22;B.1.640;;VUM;VUM;False;1037;0
3;2022-03-23 17:41:04;2021-02-22;XF;;VUM;;False;1037;0
3;2022-03-23 17:41:04;2021-02-22;XD;;VUM;VUM;False;1037;0
3;2022-03-23 17:41:04;2021-02-22;B.1.1.7;Alpha;DEV;;False;1037;794
3;2022-03-23 17:41:04;2021-02-22;B.1.621;Mu;DEV;;False;1037;0
3;2022-03-23 17:41:04;2021-02-22;C.37;Lambda;DEV;;False;1037;0
3;2022-03-23 17:41:04;2021-02-22;BA.1;;VOC;VOC;True;1037;0
3;2022-03-23 17:41:04;2021-02-22;BA.2;;VOC;VOC;True;1037;0
3;2022-03-23 17:41:04;2021-02-22;BA.3;;VOC;VOC;True;1037;0
3;2022-03-23 17:41:04;2021-03-01;B.1.351;Beta;VOC;;False;1515;24
3;2022-03-23 17:41:04;2021-03-01;P.1;Gamma;VOC;;False;1515;10
3;2022-03-23 17:41:04;2021-03-01;B.1.617.2;Delta;VOC;VOC;False;1515;0
3;2022-03-23 17:41:04;2021-03-01;B.1.1.529;Omicron;VOC;VOC;False;1515;0
3;2022-03-23 17:41:04;2021-03-01;B.1.640;;VUM;VUM;False;1515;0
3;2022-03-23 17:41:04;2021-03-01;XF;;VUM;;False;1515;0
3;2022-03-23 17:41:04;2021-03-01;XD;;VUM;VUM;False;1515;0
3;2022-03-23 17:41:04;2021-03-01;B.1.1.7;Alpha;DEV;;False;1515;1269
3;2022-03-23 17:41:04;2021-03-01;B.1.621;Mu;DEV;;False;1515;0
3;2022-03-23 17:41:04;2021-03-01;C.37;Lambda;DEV;;False;1515;0
3;2022-03-23 17:41:04;2021-03-01;BA.1;;VOC;VOC;True;1515;0
3;2022-03-23 17:41:04;2021-03-01;BA.2;;VOC;VOC;True;1515;0
3;2022-03-23 17:41:04;2021-03-01;BA.3;;VOC;VOC;True;1515;0
3;2022-03-23 17:41:04;2021-03-08;B.1.351;Beta;VOC;;False;1974;56
3;2022-03-23 17:41:04;2021-03-08;P.1;Gamma;VOC;;False;1974;13
3;2022-03-23 17:41:04;2021-03-08;B.1.617.2;Delta;VOC;VOC;False;1974;0
3;2022-03-23 17:41:04;2021-03-08;B.1.1.529;Omicron;VOC;VOC;False;1974;0
3;2022-03-23 17:41:04;2021-03-08;B.1.640;;VUM;VUM;False;1974;0
3;2022-03-23 17:41:04;2021-03-08;XF;;VUM;;False;1974;0
3;2022-03-23 17:41:04;2021-03-08;XD;;VUM;VUM;False;1974;0
3;2022-03-23 17:41:04;2021-03-08;B.1.1.7;Alpha;DEV;;False;1974;1728
3;2022-03-23 17:41:04;2021-03-08;B.1.621;Mu;DEV;;False;1974;0
3;2022-03-23 17:41:04;2021-03-08;C.37;Lambda;DEV;;False;1974;0
3;2022-03-23 17:41:04;2021-03-08;BA.1;;VOC;VOC;True;1974;0
3;2022-03-23 17:41:04;2021-03-08;BA.2;;VOC;VOC;True;1974;0
3;2022-03-23 17:41:04;2021-03-08;BA.3;;VOC;VOC;True;1974;0
3;2022-03-23 17:41:04;2021-03-15;B.1.351;Beta;VOC;;False;1563;56
3;2022-03-23 17:41:04;2021-03-15;P.1;Gamma;VOC;;False;1563;23
3;2022-03-23 17:41:04;2021-03-15;B.1.617.2;Delta;VOC;VOC;False;1563;0
3;2022-03-23 17:41:04;2021-03-15;B.1.1.529;Omicron;VOC;VOC;False;1563;0
3;2022-03-23 17:41:04;2021-03-15;B.1.640;;VUM;VUM;False;1563;0
3;2022-03-23 17:41:04;2021-03-15;XF;;VUM;;False;1563;0
3;2022-03-23 17:41:04;2021-03-15;XD;;VUM;VUM;False;1563;0
3;2022-03-23 17:41:04;2021-03-15;B.1.1.7;Alpha;DEV;;False;1563;1399
3;2022-03-23 17:41:04;2021-03-15;B.1.621;Mu;DEV;;False;1563;0
3;2022-03-23 17:41:04;2021-03-15;C.37;Lambda;DEV;;False;1563;0
3;2022-03-23 17:41:04;2021-03-15;BA.1;;VOC;VOC;True;1563;0
3;2022-03-23 17:41:04;2021-03-15;BA.2;;VOC;VOC;True;1563;0
3;2022-03-23 17:41:04;2021-03-15;BA.3;;VOC;VOC;True;1563;0
3;2022-03-23 17:41:04;2021-03-22;B.1.351;Beta;VOC;;False;1601;39
3;2022-03-23 17:41:04;2021-03-22;P.1;Gamma;VOC;;False;1601;23
3;2022-03-23 17:41:04;2021-03-22;B.1.617.2;Delta;VOC;VOC;False;1601;0
3;2022-03-23 17:41:04;2021-03-22;B.1.1.529;Omicron;VOC;VOC;False;1601;0
3;2022-03-23 17:41:04;2021-03-22;B.1.640;;VUM;VUM;False;1601;0
3;2022-03-23 17:41:04;2021-03-22;XF;;VUM;;False;1601;0
3;2022-03-23 17:41:04;2021-03-22;XD;;VUM;VUM;False;1601;0
3;2022-03-23 17:41:04;2021-03-22;B.1.1.7;Alpha;DEV;;False;1601;1495
3;2022-03-23 17:41:04;2021-03-22;B.1.621;Mu;DEV;;False;1601;0
